"","custname","region","partnum","revenue","cost","margin"
"119","APPLIED INDUSTRIAL TECH.","01-East",733525600,14175,2075.84,12099.16
"120","APPLIED INDUSTRIAL TECH.","01-East",770222000,9348.15,800.79,8547.36
"121","APPLIED INDUSTRIAL TECH.","01-East",764821000,3362.2,262.86,3099.34
"122","APPLIED INDUSTRIAL TECH.","01-East",770522000,3337.1,205.59,3131.51
"123","APPLIED INDUSTRIAL TECH.","01-East",770560000,1347.3,89.5,1257.8
"124","APPLIED INDUSTRIAL TECH.","01-East",777601000,738.72,130.82,607.9
"125","APPLIED INDUSTRIAL TECH.","01-East",724003000,591.15,81.82,509.33
"126","APPLIED INDUSTRIAL TECH.","01-East",724281200,510.9,89.08,421.82
"127","APPLIED INDUSTRIAL TECH.","01-East",764341000,406,47.97,358.03
"128","APPLIED INDUSTRIAL TECH.","01-East",733151600,310.6,46.64,263.96
"129","APPLIED TECHNICAL SERVICE","01-East",754067000,1935,617.82,1317.18
"130","APPLIED TECHNICAL SERVICE","01-East",739450000,708.91,260.23,448.68
"131","APPLIED TECHNICAL SERVICE","01-East",764521000,325.8,39.81,285.99
"132","APPROVED AERONAUTICS","01-East",733464500,626,65.05,560.95
"133","APPROVED AERONAUTICS","01-East",733444200,348,38.64,309.36
"134","ARCHIE BRAY FOUNDATION","01-East",734351200,1890.75,143.35,1747.4
"135","AREMCO PRODUCTS INC","01-East",734000000,11289.75,1365.74,9924.01
"136","AREMCO PRODUCTS INC","01-East",734030000,2236.5,494.66,1741.84
"137","AREMCO PRODUCTS INC","01-East",734040000,1912,484.88,1427.12
"138","ARI - MARMADUKE","01-East",764706120,74370.24,20268.3,54101.94
"139","ARI - MARMADUKE","01-East",764652002,34003.2,5785.32,28217.88
"140","ARMENA REFINING USA","01-East",764481000,1758,86,1672
"141","ASHLAND ADVANCED","01-East",766689000,19660,2386.27,17273.73
"142","ASK CHEMICALS HI-TECH LLC","01-East",732663000,215136,33045.76,182090.24
"143","ASK CHEMICALS HI-TECH LLC","01-East",732670000,11329.9,4547.46,6782.44
"144","ASK CHEMICALS HI-TECH LLC","01-East",732675000,6236.33,2049.38,4186.95
"145","ASK CHEMICALS HI-TECH LLC","01-East",732650000,4881.61,1944.67,2936.94
"146","ASK CHEMICALS HI-TECH LLC","01-East",732662000,4792.5,1755.06,3037.44
"147","ASK CHEMICALS HI-TECH LLC","01-East",732630000,4683.15,1258.91,3424.24
"148","ASK CHEMICALS HI-TECH LLC","01-East",733141200,265.6,133.96,131.64
"149","ASPEN PRODUCTS GROUP","01-East",739390000,364.64,161.76,202.88
"150","ATLANTECH DISTRIBUTION","01-East",735602000,77355,29396.27,47958.73
"151","ATLANTECH DISTRIBUTION","01-East",739741100,31786.4,32062.53,-276.13
"152","ATLANTECH DISTRIBUTION","01-East",735752000,10092,4207.32,5884.68
"153","ATLANTECH DISTRIBUTION","01-East",735602010,1800,1130.24,669.76
"154","ATLANTECH DISTRIBUTION","01-East",734351200,1488.52,147.24,1341.28
"155","ATLANTECH DISTRIBUTION","01-East",734751200,654.45,113.13,541.32
"156","ATLANTECH DISTRIBUTION","01-East",738542000,640.32,574.08,66.24
"157","ATLANTIC CASTING","01-East",734351200,1890.75,143.35,1747.4
"158","ATLAS HOSE & GASKET CO.,","01-East",739521100,1320.48,120.06,1200.42
"159","ATLAS METALIZING","01-East",733586500,1857.6,181.35,1676.25
"160","ATLAS METALIZING","01-East",734311100,381.48,33.7,347.78
"161","AUBURN MANUFACTURING CO.","01-East",733464600,611,66.28,544.72
"162","AUBURN MANUFACTURING CO.","01-East",770310000,518,45.47,472.53
"163","AUBURN MANUFACTURING CO.","01-East",733151500,472,54.11,417.89
"164","AUBURN MANUFACTURING CO.","01-East",733725500,286,51.76,234.24
"165","AUTOMATIC MACHINE PRODUCT","01-East",740382101,4334.4,1351.23,2983.17
"166","AVIS INDUSTRIES, INC.","01-East",724281900,600,148.99,451.01
"167","BAE SYSTEMS","01-East",738401000,681.48,321.12,360.36
"168","BAE SYSTEMS","01-East",768021000,389,27.49,361.51
"169","BAILEY POTTERY EQUIPMENT","01-East",734311100,4196.8,410.84,3785.96
"170","BAKER DISTRIBUTING  CO.","01-East",735602000,31774.5,7934.89,23839.61
"171","BAKER MODULES","01-East",793560000,6660,2649.33,4010.67
"172","BALLARD MATERIAL PRODUCTS","01-East",764481000,2090,169.41,1920.59
"173","BASF CORPORATION","01-East",724071900,23791.32,3183.37,20607.95
"174","BASF","01-East",733141200,520,66.98,453.02
"175","BATTELLE FOR THE US DOE","01-East",777601000,386.72,72.02,314.7
"176","BATTELLE FOR THE US DOE","01-East",768111000,280,15.38,264.62
"177","BAY INDUSTRIES INC.","01-East",735602000,1477184,497108.39,980075.61
"178","BAY INDUSTRIES INC.","01-East",735602110,428300,150904.7,277395.3
"179","BAY INDUSTRIES INC.","01-East",764631000,244921.6,80765.31,164156.29
"180","BAY INDUSTRIES INC.","01-East",735750000,111685,45262.02,66422.98
"181","BAY INDUSTRIES INC.","01-East",764822000,93744,22126.95,71617.05
"182","BAY INDUSTRIES INC.","01-East",764651000,87479.04,24691.61,62787.43
"183","BAY INDUSTRIES INC.","01-East",764901000,80118.75,33921.91,46196.84
"184","BAY INDUSTRIES INC.","01-East",764522000,77203,22375.27,54827.73
"185","BAY INDUSTRIES INC.","01-East",764821000,74253.5,28926.6,45326.9
"186","BAY INDUSTRIES INC.","01-East",764521000,48980,20993.74,27986.26
"187","BAY INDUSTRIES INC.","01-East",764706300,41077.76,17359.48,23718.28
"188","BAY INDUSTRIES INC.","01-East",764602000,35085,11564.29,23520.71
"189","BAY INDUSTRIES INC.","01-East",735752000,28110,9784.77,18325.23
"190","BAY INDUSTRIES INC.","01-East",764902000,18430,4808.72,13621.28
"191","BAY INDUSTRIES INC.","01-East",735862000,16374.4,7084.09,9290.31
"192","BAY INDUSTRIES INC.","01-East",764261000,14530,6650.5,7879.5
"193","BAY INDUSTRIES INC.","01-East",766162000,14175,8969.25,5205.75
"194","BAY INDUSTRIES INC.","01-East",764861000,13845,6022.31,7822.69
"195","BAY INDUSTRIES INC.","01-East",766121000,13800,5970.23,7829.77
"196","BAY INDUSTRIES INC.","01-East",764862000,11307.5,4896.53,6410.97
"197","BAY INDUSTRIES INC.","01-East",764706200,10386.24,3579.18,6807.06
"198","BAY INDUSTRIES INC.","01-East",764341000,9600,4797.4,4802.6
"199","BAY INDUSTRIES INC.","01-East",764901050,8960,2021.74,6938.26
"200","BAY INDUSTRIES INC.","01-East",733151500,8720,2164.26,6555.74
"201","BAY INDUSTRIES INC.","01-East",779988827,8169.56,4272.41,3897.15
"202","BAY INDUSTRIES INC.","01-East",780250000,5103.36,2493.56,2609.8
"203","BAY INDUSTRIES INC.","01-East",780401000,4239.36,2825.72,1413.64
"204","BAY INDUSTRIES INC.","01-East",764601000,3175,1328.62,1846.38
"205","BAY INDUSTRIES INC.","01-East",764561000,2053,926.49,1126.51
"206","BAY INDUSTRIES INC.","01-East",766001000,1290,599.17,690.83
"207","BAY INDUSTRIES INC.","01-East",766122000,1180,287.62,892.38
"208","BAY INDUSTRIES INC.","01-East",734910000,571,102.7,468.3
"209","BAY INDUSTRIES INC.","01-East",768144210,321.7,118.28,203.42
"210","BAY INSULATION OF TEXAS","01-East",735750000,4740,1906.59,2833.41
"211","BAY INSULATION","01-East",739781100,558.59,327.68,230.91
"212","BENGAL SUPPLY, LLC","01-East",735602000,27360,8284.44,19075.56
"213","BIRK MANUFACTURING","01-East",733525500,752.5,70.39,682.11
"214","BLACKSTONE-NEY ULTRASONIC","01-East",739641100,393.84,137.43,256.41
"215","BLASCH PRECISION CERAMICS","01-East",764821000,4402,155.37,4246.63
"216","BLASCH PRECISION CERAMICS","01-East",770212000,3133,237.35,2895.65
"217","BLASCH PRECISION CERAMICS","01-East",770200000,2592,166.4,2425.6
"218","BLASCH PRECISION PRODUCTS","01-East",770212000,2054,156.16,1897.84
"219","BLASCH PRECISION PRODUCTS","01-East",770220000,942,54.69,887.31
"220","BLASCH PRECISION PRODUCTS","01-East",764821000,860,30.72,829.28
"221","BLASCH PRECISION PRODUCTS","01-East",779987651,815,95.41,719.59
"222","BLICKMAN INC.","01-East",739541100,23069.76,3433.81,19635.95
"223","BLOOM ENERGY CORPORATION","01-East",777907250,3930,2688,1242
"224","BLOUNT BOATS INC.","01-East",768133000,2592,706.53,1885.47
"225","BLOXR CORPORATION","01-East",733525500,5840,563.15,5276.85
"226","BLOXR CORPORATION","01-East",733464600,2960,349.71,2610.29
"227","BLOXR CORPORATION","01-East",733444200,1676,193.2,1482.8
"228","BLOXR CORPORATION","01-East",733464500,1252,130.1,1121.9
"229","BODY COTE","01-East",764461006,1200,136.24,1063.76
"230","BOEING AEROSPACE COMPANY","01-East",733141200,432,59.97,372.03
"231","BOEING COMMERCIAL","01-East",733648000,197199,116961.57,80237.43
"232","BOEING COMMERCIAL","01-East",733649000,89635,54444.71,35190.29
"233","BOEING COMPANY","01-East",715000000,2635,304.36,2330.64
"234","BOEING COMPANY","01-East",737912200,692,86.72,605.28
"235","BOEING COMPANY","01-East",737902100,462,67.12,394.88
"236","BOEING COMPANY","01-East",727000140,255.2,15.84,239.36
"237","BOLTS METALLIZING WEST","01-East",733464500,596,59.04,536.96
"238","BOLTS METALLIZING WEST","01-East",764481000,346,16.94,329.06
"239","BOSTON ATLANTIC CORP.","01-East",738361000,601.92,164.47,437.45
"240","BRADCO SUPPLY INC.","01-East",735602000,13050,3796.01,9253.99
"241","BRADEN MANUFACTURING","01-East",768231000,65059,43104.3,21954.7
"242","BRADEN MANUFACTURING","01-East",768241000,56919.95,37832.36,19087.59
"243","BRADEN MANUFACTURING","01-East",768080000,48538,37090.11,11447.89
"244","BRADEN MANUFACTURING","01-East",771320000,44468.5,6242.28,38226.22
"245","BRADEN MANUFACTURING","01-East",768231012,29663,20710.29,8952.71
"246","BRADEN MANUFACTURING","01-East",768241102,20942.25,14417.91,6524.34
"247","BRADEN MANUFACTURING","01-East",768231200,3120,1794.85,1325.15
"248","BRADEN MANUFACTURING","01-East",768144200,975.2,213.33,761.87
"249","BRADEN MANUFACTURING","01-East",770220000,423.9,27.35,396.55
"250","BRAND ENERGY SERVICES LLC","01-East",733464600,298,31.31,266.69
"251","BRAUER SUPPLY COMPANY","01-East",735602000,414296,132066.58,282229.42
"252","BRAUER SUPPLY COMPANY","01-East",735602110,58712,19152.93,39559.07
"253","BRAUER SUPPLY COMPANY","01-East",735752000,27784,10316.12,17467.88
"254","BRAUER SUPPLY COMPANY","01-East",735750000,26081,10090.73,15990.27
"255","BRAYTON ENERGY","01-East",740361701,1130.4,628.78,501.62
"256","BRIGHTSOURCE CONSTRUCTION","01-East",777690062,1287662.2,981523.47,306138.73
"257","BRIGHTSOURCE CONSTRUCTION","01-East",777692562,167520,159604.68,7915.32
"258","BRIGHTSOURCE CONSTRUCTION","01-East",777692662,74214,71587.06,2626.94
"259","BRIGHTSOURCE CONSTRUCTION","01-East",777699062,55212.48,42084.51,13127.97
"260","BRIGHTSOURCE CONSTRUCTION","01-East",777691562,53806.86,41013.63,12793.23
"261","BRIGHTSOURCE CONSTRUCTION","01-East",777690362,48810.3,37205.76,11604.54
"262","BRIGHTSOURCE CONSTRUCTION","01-East",777692462,46068,43855.34,2212.66
"263","BRIGHTSOURCE CONSTRUCTION","01-East",777690862,41884,31925.88,9958.12
"264","BRIGHTSOURCE CONSTRUCTION","01-East",793550074,33637.68,25235.42,8402.26
"265","BRIGHTSOURCE CONSTRUCTION","01-East",777691162,26386.62,14917.77,11468.85
"266","BRIGHTSOURCE CONSTRUCTION","01-East",777691262,22967.01,12984.93,9982.08
"267","BRIGHTSOURCE CONSTRUCTION","01-East",777692762,14812.56,14256.34,556.22
"268","BRIGHTSOURCE CONSTRUCTION","01-East",777652674,9360,7134.3,2225.7
"269","BRIGHTSOURCE CONSTRUCTION","01-East",777691862,9332.7,6996.81,2335.89
"270","BRIGHTSOURCE CONSTRUCTION","01-East",734351200,9206.2,1495.44,7710.76
"271","BRIGHTSOURCE CONSTRUCTION","01-East",734910000,8718.5,2413.34,6305.16
"272","BRIGHTSOURCE CONSTRUCTION","01-East",777694062,8559.36,6524.1,2035.26
"273","BRIGHTSOURCE CONSTRUCTION","01-East",777690162,8506.16,6483.44,2022.72
"274","BRIGHTSOURCE CONSTRUCTION","01-East",777652362,7994.08,7693.9,300.18
"275","BRIGHTSOURCE CONSTRUCTION","01-East",777690262,7766.72,5919.46,1847.26
"276","BRIGHTSOURCE CONSTRUCTION","01-East",777692262,4827.45,3679.56,1147.89
"277","BRIGHTSOURCE CONSTRUCTION","01-East",777690462,4640.4,3537.06,1103.34
"278","BRIGHTSOURCE CONSTRUCTION","01-East",777652474,4491.5,3422.7,1068.8
"279","BRIGHTSOURCE CONSTRUCTION","01-East",779988847,4118.4,3719.38,399.02
"280","BRIGHTSOURCE CONSTRUCTION","01-East",777690962,4039.56,3079.12,960.44
"281","BRIGHTSOURCE CONSTRUCTION","01-East",777690562,3168.18,2414.84,753.34
"282","BRIGHTSOURCE CONSTRUCTION","01-East",777691062,2854.62,2175.86,678.76
"283","BRIGHTSOURCE CONSTRUCTION","01-East",777691962,2446.05,1864.35,581.7
"284","BRIGHTSOURCE CONSTRUCTION","01-East",777692362,2357.25,1796.85,560.4
"285","BRIGHTSOURCE CONSTRUCTION","01-East",777692162,2129.1,1622.88,506.22
"286","BRIGHTSOURCE CONSTRUCTION","01-East",777690662,2041.5,1556.12,485.38
"287","BRIGHTSOURCE CONSTRUCTION","01-East",777690762,1912.5,1457.76,454.74
"288","BRIGHTSOURCE CONSTRUCTION","01-East",777692062,1723.1,1313.36,409.74
"289","BRIGHTSOURCE CONSTRUCTION","01-East",777691662,1636.65,1247.43,389.22
"290","BRIGHTSOURCE CONSTRUCTION","01-East",777693062,1499.8,1143.2,356.6
"291","BRIGHTSOURCE CONSTRUCTION","01-East",777691762,1424.7,1085.82,338.88
"292","BRIGHTSOURCE CONSTRUCTION","01-East",777692962,1192.86,1148,44.86
"293","BRIGHTSOURCE CONSTRUCTION","01-East",777652462,1175.6,1131.46,44.14
"294","BRIGHTSOURCE CONSTRUCTION","01-East",777693162,1175.6,1131.46,44.14
"295","BRIGHTSOURCE CONSTRUCTION","01-East",777652762,1147.32,1109.07,38.25
"296","BRIGHTSOURCE CONSTRUCTION","01-East",777652862,1147.32,1109.07,38.25
"297","BRIGHTSOURCE CONSTRUCTION","01-East",777652562,1132.95,876.03,256.92
"298","BRIGHTSOURCE CONSTRUCTION","01-East",777695062,860.04,655.58,204.46
"299","BRIGHTSOURCE CONSTRUCTION","01-East",777692862,662.7,637.78,24.92
"300","BRIGHTSOURCE CONSTRUCTION","01-East",777693262,644,619.76,24.24
"301","BRIGHTSOURCE CONSTRUCTION","01-East",777696062,587.16,447.56,139.6
"302","BRIGHTSOURCE CONSTRUCTION","01-East",777697062,333.6,254.3,79.3
"303","BRIGHTSOURCE CONSTRUCTION","01-East",777698062,333.6,254.3,79.3
"304","BRUCE DIAMOND CORP","01-East",739541000,3960,614.63,3345.37
"305","BRUCE DIAMOND CORP","01-East",740103000,824.88,135.47,689.41
"306","BRUCE DIAMOND CORP","01-East",740123000,697.2,128.01,569.19
"307","BRUCKNER SUPPLY","01-East",766121000,67600,15986.46,51613.54
"308","BRUCKNER SUPPLY","01-East",770522000,49598.9,3037.44,46561.46
"309","BRUCKNER SUPPLY","01-East",733211000,24816,5532.59,19283.41
"310","BRUCKNER SUPPLY","01-East",764821000,18717.75,5145.39,13572.36
"311","BRUCKNER SUPPLY","01-East",734970000,6428.22,2695,3733.22
"312","BRUCKNER SUPPLY","01-East",734311100,3501.96,308.12,3193.84
"313","BRUCKNER SUPPLY","01-East",733403200,3082.64,396.68,2685.96
"314","BRUCKNER SUPPLY","01-East",740361701,2649.6,1894.86,754.74
"315","BRUCKNER SUPPLY","01-East",770540000,1356.25,94.98,1261.27
"316","BRUCKNER SUPPLY","01-East",740402402,815,193.66,621.34
"317","BRUCKNER SUPPLY","01-East",774751000,636,79.14,556.86
"318","BRUCKNER SUPPLY","01-East",764221000,476,33.66,442.34
"319","BRUCKNER SUPPLY","01-East",733464500,412,65.05,346.95
"320","BRUCKNER SUPPLY","01-East",774671000,408,48.36,359.64
"321","BRUCKNER SUPPLY","01-East",774901000,336,39.57,296.43
"322","BRUCKNER SUPPLY","01-East",764221100,276,89.64,186.36
"323","BRUCKNER SUPPLY","01-East",764341000,101.6,23.98,77.62
"324","BRYANT REFRACTORY CO.","01-East",764781040,676089,471699.33,204389.67
"325","BRYANT REFRACTORY CO.","01-East",764821000,630120,268156.41,361963.59
"326","BRYANT REFRACTORY CO.","01-East",764901000,348688.5,165932.95,182755.55
"327","BRYANT REFRACTORY CO.","01-East",764901050,303447,143134.67,160312.33
"328","BRYANT REFRACTORY CO.","01-East",764821030,283968,123668.14,160299.86
"329","BRYANT REFRACTORY CO.","01-East",779958162,279532.5,239408.15,40124.35
"330","BRYANT REFRACTORY CO.","01-East",764521000,258694,116027.89,142666.11
"331","BRYANT REFRACTORY CO.","01-East",779956871,135368.2,82522.69,52845.51
"332","BRYANT REFRACTORY CO.","01-East",764601000,125635.5,60782.67,64852.83
"333","BRYANT REFRACTORY CO.","01-East",764781000,119858.8,43501.5,76357.3
"334","BRYANT REFRACTORY CO.","01-East",755084012,108981.72,78419.81,30561.91
"335","BRYANT REFRACTORY CO.","01-East",766121000,100401,29406.1,70994.9
"336","BRYANT REFRACTORY CO.","01-East",779956872,97091.4,58656.1,38435.3
"337","BRYANT REFRACTORY CO.","01-East",764821073,78502.5,77091.75,1410.75
"338","BRYANT REFRACTORY CO.","01-East",764901073,68160,69984,-1824
"339","BRYANT REFRACTORY CO.","01-East",777902600,66942.4,30423.72,36518.68
"340","BRYANT REFRACTORY CO.","01-East",764861000,62798.5,29542.69,33255.81
"341","BRYANT REFRACTORY CO.","01-East",766122000,60473,18929.13,41543.87
"342","BRYANT REFRACTORY CO.","01-East",733211000,59539,12254.84,47284.16
"343","BRYANT REFRACTORY CO.","01-East",779958166,58110,40961.06,17148.94
"344","BRYANT REFRACTORY CO.","01-East",764522000,52800,34920.83,17879.17
"345","BRYANT REFRACTORY CO.","01-East",768231000,46204.7,8821.75,37382.95
"346","BRYANT REFRACTORY CO.","01-East",779957196,43989.88,33000.66,10989.22
"347","BRYANT REFRACTORY CO.","01-East",764821161,41437.5,41106,331.5
"348","BRYANT REFRACTORY CO.","01-East",779958163,39330,29511.06,9818.94
"349","BRYANT REFRACTORY CO.","01-East",738401000,31212,24325.62,6886.38
"350","BRYANT REFRACTORY CO.","01-East",733151500,29912.6,4793.77,25118.83
"351","BRYANT REFRACTORY CO.","01-East",733525600,25490,3701.87,21788.13
"352","BRYANT REFRACTORY CO.","01-East",764561000,22148.5,9722.37,12426.13
"353","BRYANT REFRACTORY CO.","01-East",779956873,21656.96,13171.69,8485.27
"354","BRYANT REFRACTORY CO.","01-East",739641100,19815.99,13268.06,6547.93
"355","BRYANT REFRACTORY CO.","01-East",764521061,18910,19809,-899
"356","BRYANT REFRACTORY CO.","01-East",739681100,17905.14,10064.72,7840.42
"357","BRYANT REFRACTORY CO.","01-East",764521073,17080,18060,-980
"358","BRYANT REFRACTORY CO.","01-East",779956889,17040,9791.02,7248.98
